class_index,Recipe Name,Ingredients,Instructions
51,grilled_cheese_sandwich,"bread, butter, cheese (such as cheddar, American, or Gruyère)","Prepare the Bread and Butter: Take 2 slices of bread (preferably white, whole wheat, or sourdough). Spread a thin layer of butter on one side of each slice.

Prepare the Cheese: Place 2-3 slices of your preferred cheese (cheddar, American, or a mix) on the unbuttered side of one slice of bread.

Assemble the Sandwich: Place the second slice of bread on top, buttered side facing out, to form a sandwich.

Heat the Pan: Heat a skillet or frying pan over medium heat. Once hot, place the sandwich in the pan.

Grill the Sandwich: Cook the sandwich for 2-4 minutes on one side, pressing gently with a spatula, until the bread is golden brown and the cheese starts to melt. Flip the sandwich and cook the other side for another 2-3 minutes, until both sides are golden brown and the cheese is fully melted.

Serve: Remove the sandwich from the pan and slice it in half. Serve immediately with a side of tomato soup or your favorite dipping sauce."
52,grilled_salmon,"salmon fillets, olive oil, lemon juice, garlic cloves, fresh dill, salt, black pepper","Prepare the Salmon: Take 2 salmon fillets (about 6 ounces each), and pat them dry with paper towels. Season both sides with olive oil, salt, black pepper, and optional spices like garlic powder, paprika, or lemon zest.

Preheat the Grill: Preheat your grill to medium-high heat (about 400°F or 200°C). If using a gas grill, allow it to heat for 10-15 minutes. If using a charcoal grill, make sure the coals are hot and have a layer of white ash.

Grill the Salmon: Place the salmon fillets on the grill, skin-side down (if the skin is on). Close the grill lid. Grill for 4-5 minutes without moving the fish to ensure a nice sear.

Flip the Salmon: Carefully flip the salmon fillets using a wide spatula. Grill for another 3-4 minutes, depending on the thickness of the fillets, until the salmon is cooked through and flakes easily with a fork.

Optional – Add Lemon: In the last minute of grilling, you can add lemon halves, cut-side down, to the grill for extra flavor.

Serve: Remove the salmon from the grill and let it rest for a minute before serving. Garnish with fresh herbs like dill or parsley, and serve with lemon wedges."
53,guacamole,"avocados, lime juice, tomato, onion, cilantro, jalapeño (optional), garlic, salt, black pepper","Prepare the Avocados: Cut 3 ripe avocados in half, remove the pit, and scoop the flesh into a bowl. Mash the avocado with a fork until smooth but slightly chunky, depending on your texture preference.

Add the Vegetables: Finely chop 1/4 cup of red onion and 1 small tomato. Mince 1 clove of garlic and 1 small jalapeño (optional, for heat). Add the chopped onion, tomato, garlic, and jalapeño to the mashed avocado.

Add the Seasonings: Stir in the juice of 1 lime, 1/2 teaspoon of salt, and a pinch of black pepper. Optionally, add a pinch of cumin for extra flavor.

Mix and Taste: Stir everything together until well combined. Taste the guacamole and adjust seasoning as needed by adding more salt, lime juice, or cumin.

Serve: Serve the guacamole immediately with tortilla chips, tacos, or as a topping for your favorite dishes."
54,gyoza,"gyoza wrappers, ground pork or chicken, cabbage, green onions, garlic, ginger, soy sauce, sesame oil, rice vinegar, water, salt, pepper, vegetable oil","Prepare the Filling: In a large bowl, combine 1/2 lb ground pork (or chicken), 1/4 cup finely chopped cabbage, 1/4 cup chopped green onions, 1 clove garlic (minced), and 1 teaspoon grated ginger. Add 1 tablespoon soy sauce, 1 tablespoon sesame oil, 1 teaspoon rice vinegar, and 1/2 teaspoon salt. Mix everything together until well combined.

Prepare the Gyoza Wrappers: Place gyoza wrappers (about 20) on a clean surface. Spoon about 1 teaspoon of the filling into the center of each wrapper. Be careful not to overfill.

Fold the Gyoza: Dampen the edges of the wrapper with a little water, then fold it in half over the filling to form a half-moon shape. Press the edges together to seal, and crimp the sides to create pleats along the edges for a decorative touch.

Cook the Gyoza (Pan-Fried Method): Heat 1 tablespoon of vegetable oil in a large skillet over medium heat. Arrange the gyoza in the skillet in a single layer. Cook for about 2-3 minutes, until the bottoms are golden brown.

Steam the Gyoza: Add 1/4 cup of water to the skillet and cover immediately. Let the gyoza steam for 5-7 minutes until the wrappers are cooked through and the filling is fully cooked.

Serve: Remove the gyoza from the skillet and serve with a dipping sauce made from 2 tablespoons soy sauce, 1 teaspoon rice vinegar, and a few drops of sesame oil."
55,hamburger,"ground beef, salt, black pepper, hamburger buns, cheese slices (optional), lettuce, tomato, onion, pickles, ketchup, mustard, mayonnaise","Prepare the Burger Patties: In a bowl, combine 1 lb ground beef (80% lean for juiciness), 1/2 teaspoon salt, and 1/4 teaspoon black pepper. Gently mix the ingredients together and divide the mixture into 4 equal portions. Shape each portion into a patty about 1/2-inch thick. Make a small indentation in the center of each patty to prevent it from puffing up during cooking.

Preheat the Grill or Skillet: Preheat your grill or skillet over medium-high heat (around 375°F or 190°C). If you're using a skillet, add a little oil to prevent sticking.

Cook the Burger Patties: Place the patties on the grill or skillet. Cook for 4-5 minutes on one side, then flip the patties. Cook for another 3-4 minutes for medium doneness, or longer for your desired level of doneness. You can add cheese on top of the patties during the last minute of cooking to melt if desired.

Toast the Buns: While the patties are cooking, slice hamburger buns in half and toast them lightly on the grill or in a toaster until golden brown.

Assemble the Burger: Place a cooked patty on the bottom half of each bun. Add your favorite toppings such as lettuce, tomato, pickles, onions, and condiments like ketchup, mustard, or mayonnaise. Top with the other half of the bun.

Serve: Serve the hamburger immediately with a side of fries, chips, or a salad."
56,hot_and_sour_soup,"wood ear mushrooms, shiitake mushrooms, tofu, chicken or vegetable broth, soy sauce, rice vinegar, sesame oil, chili paste, ginger, garlic, egg, green onions, bamboo shoots, cornstarch, sugar, salt, black pepper","Prepare the Ingredients: Thinly slice 1/2 cup of mushrooms, 1/4 cup bamboo shoots, and 1/4 cup tofu into strips or cubes. Prepare 1 egg by beating it lightly. Set aside. Mince 2 cloves garlic and 1 tablespoon of ginger.

Prepare the Broth: In a large pot, bring 4 cups of chicken or vegetable broth to a boil. Add the garlic, ginger, 1 tablespoon soy sauce, 1 tablespoon rice vinegar, 2 teaspoons sugar, and 1 tablespoon of chili paste or chili oil (adjust for desired heat). Stir well.

Add the Vegetables and Tofu: Once the broth is boiling, add the sliced mushrooms, bamboo shoots, and tofu to the pot. Let the soup simmer for about 5 minutes until the vegetables are tender.

Thicken the Soup: In a small bowl, mix 1 tablespoon of cornstarch with 2 tablespoons of water to create a slurry. Slowly pour the slurry into the simmering soup, stirring continuously until the soup thickens slightly.

Add the Egg: Slowly pour the beaten egg into the soup in a steady stream, stirring gently in one direction to create egg ribbons. Let the soup simmer for another 2 minutes.

Adjust Seasoning: Taste the soup and adjust seasoning with more soy sauce for saltiness, rice vinegar for sourness, or chili paste for spiciness.

Serve: Ladle the soup into bowls and garnish with a few chopped green onions and a dash of sesame oil if desired. Serve hot."
57,hot_dog,"hot dog sausages, hot dog buns, ketchup, mustard, relish, onions, sauerkraut (optional), cheese (optional), pickles (optional)","Prepare the Hot Dogs: Take 4 hot dog sausages and heat them by either boiling, grilling, or pan-frying them.

Boil: Place the sausages in a pot of boiling water and cook for 5-7 minutes until heated through.
Grill: Preheat your grill to medium heat and grill the sausages for 5-7 minutes, turning occasionally until they’re evenly browned.
Pan-Fry: Heat a skillet over medium heat and cook the sausages for 5-7 minutes, turning to brown all sides.
Prepare the Buns: While the sausages are heating, slice 4 hot dog buns along the top (do not cut all the way through) and toast them lightly if desired. You can toast them in the oven, on a grill, or in a skillet until they are golden and crispy.

Assemble the Hot Dogs: Place each cooked sausage into a bun. Top with your favorite condiments like mustard, ketchup, relish, onions, or sauerkraut.

Serve: Serve the hot dogs immediately, garnished with any additional toppings you like. You can also serve them with a side of chips, fries, or coleslaw."
58,huevos_rancheros,"corn tortillas, eggs, refried beans, tomato, onion, garlic, jalapeño, cilantro, lime juice, cheese (such as cotija or cheddar), sour cream, salsa, olive oil, salt, black pepper","Prepare the Salsa: In a medium saucepan, heat 1 tablespoon of vegetable oil over medium heat. Add 1/4 cup of chopped onions and 1 minced garlic clove, cooking until softened. Add 2 diced tomatoes, 1/4 cup of water, 1 teaspoon of ground cumin, and 1/2 teaspoon of chili powder. Simmer for 10-15 minutes, stirring occasionally, until the salsa thickens. Season with salt and pepper to taste. Set aside.

Fry the Tortillas: Heat 1 tablespoon of vegetable oil in a skillet over medium heat. Fry 2 corn tortillas in the oil for about 1-2 minutes on each side until crispy but still pliable. Remove and set aside on paper towels to drain excess oil.

Cook the Eggs: In the same skillet, add a bit more oil if needed. Crack 2 eggs into the pan and cook sunny-side up or to your preferred doneness, about 2-3 minutes for runny yolks or longer if desired.

Assemble the Huevos Rancheros: Place the fried tortillas on serving plates. Spoon a generous amount of salsa over each tortilla. Top with a fried egg on each.

Garnish and Serve: Garnish with fresh cilantro, a dollop of sour cream, sliced avocado, or crumbled queso fresco if desired. Serve immediately with a side of beans or rice if preferred."
59,hummus,"canned chickpeas (garbanzo beans), tahini, lemon juice, garlic, olive oil, ground cumin, salt, black pepper, water, paprika (optional), parsley (optional)","Prepare the Ingredients: Drain and rinse 1 can (15 oz) of chickpeas (garbanzo beans) and set aside. Reserve a few whole chickpeas for garnish if desired. Juice 1 lemon. Mince 1 small garlic clove. Measure 1/4 cup tahini (sesame paste) and 2 tablespoons olive oil.

Blend the Hummus: In a food processor, combine the chickpeas, lemon juice, tahini, minced garlic, 1/2 teaspoon salt, and 1/4 teaspoon ground cumin (optional). Add 2 tablespoons of water or more for desired consistency. Blend until smooth. If the hummus is too thick, add more water a tablespoon at a time until you reach your preferred texture.

Adjust Seasoning: Taste the hummus and adjust the seasoning by adding more salt, lemon juice, or cumin if needed. You can also add 1 tablespoon of olive oil for extra creaminess.

Serve: Transfer the hummus to a serving dish. Drizzle with olive oil and garnish with a few reserved chickpeas, a sprinkle of paprika, or fresh parsley. Serve with pita bread, crackers, or fresh vegetables."
60,ice_cream,"heavy cream, whole milk, sugar, vanilla extract, salt, egg yolks","Prepare the Ice Cream Base: In a medium saucepan, combine 2 cups heavy cream, 1 cup whole milk, and 3/4 cup granulated sugar. Heat the mixture over medium heat, stirring occasionally, until the sugar is completely dissolved and the mixture is hot but not boiling (about 170°F or 77°C).

Temper the Eggs: In a separate bowl, whisk 4 large egg yolks. Slowly pour a small amount of the hot cream mixture into the egg yolks, whisking constantly to temper the eggs. Gradually add the rest of the hot cream mixture to the egg yolks while whisking.

Cook the Custard: Return the egg and cream mixture to the saucepan and cook over low heat, stirring constantly with a wooden spoon or spatula. Cook until the mixture thickens and coats the back of the spoon (about 170°F or 77°C). Do not let it boil.

Chill the Mixture: Remove the custard from the heat and stir in 1 teaspoon of vanilla extract. Pour the mixture through a fine-mesh sieve into a clean bowl to strain out any cooked egg bits. Let the custard cool at room temperature, then refrigerate it for at least 4 hours or overnight until it is completely chilled.

Churn the Ice Cream: Once the custard is chilled, pour it into an ice cream maker and churn according to the manufacturer’s instructions (usually 20-25 minutes). The mixture should thicken and resemble soft-serve ice cream.

Freeze the Ice Cream: Transfer the churned ice cream into an airtight container and freeze for at least 4 hours or until firm.

Serve: Scoop and serve your homemade ice cream with your favorite toppings."
61,lasagna,"lasagna noodles, ground beef or pork, onion, garlic, tomato sauce, tomato paste, oregano, basil, ricotta cheese, mozzarella cheese, parmesan cheese, egg, salt, black pepper, olive oil","Prepare the Meat Sauce: In a large skillet, heat 1 tablespoon of olive oil over medium heat. Add 1 chopped onion and 2 minced garlic cloves. Sauté until softened, about 5 minutes. Add 1 lb ground beef (or a mix of beef and pork) and cook until browned, breaking it up with a spoon. Drain excess fat. Stir in 1 can (28 oz) crushed tomatoes, 2 tablespoons tomato paste, 1 teaspoon dried oregano, 1 teaspoon dried basil, 1/2 teaspoon salt, and 1/4 teaspoon black pepper. Simmer the sauce for 20-30 minutes, stirring occasionally.

Prepare the Ricotta Mixture: In a bowl, combine 15 oz ricotta cheese, 1 egg, 1/4 cup grated Parmesan cheese, and 1/4 teaspoon salt. Mix well and set aside.

Cook the Lasagna Noodles: Boil a large pot of salted water. Add 12 lasagna noodles and cook according to the package directions (about 8-10 minutes). Drain and lay the noodles flat on a sheet of wax paper or drizzle with a little olive oil to prevent sticking.

Assemble the Lasagna: Preheat the oven to 375°F (190°C). In a 9x13-inch baking dish, spread a thin layer of meat sauce on the bottom. Place a layer of noodles on top of the sauce, followed by a layer of the ricotta mixture, and then a layer of shredded mozzarella cheese (about 2 cups). Repeat the layers, finishing with a top layer of noodles, sauce, and mozzarella cheese. Sprinkle with 1/4 cup grated Parmesan cheese.

Bake the Lasagna: Cover the baking dish with aluminum foil and bake for 25-30 minutes. Remove the foil and bake for an additional 10-15 minutes, until the top is bubbly and golden. Let the lasagna rest for 10-15 minutes before slicing.

Serve: Cut the lasagna into squares and serve with garlic bread and a side salad."
62,lobster_bisque,"lobster meat, lobster shells, butter, onion, carrot, celery, garlic, tomato paste, brandy or white wine, chicken or seafood broth, heavy cream, bay leaves, thyme, salt, black pepper, paprika, cayenne pepper (optional), fresh parsley","Prepare the Lobster: Boil or steam 2 lobsters in a large pot of salted water for 8-10 minutes, or until they turn bright red and the meat is opaque. Remove the lobsters and let them cool. Once cooled, remove the meat from the shells and chop it into bite-sized pieces. Set aside. Reserve the shells for making the broth.

Make the Lobster Broth: In a large pot, heat 1 tablespoon of olive oil over medium heat. Add the reserved lobster shells, 1/2 chopped onion, 1 chopped carrot, 1 stalk chopped celery, and 2 minced garlic cloves. Cook for 5-7 minutes, stirring occasionally. Add 4 cups of water, 1 bay leaf, and 1 teaspoon of dried thyme. Bring to a boil, then reduce the heat and simmer for 20-30 minutes. Strain the broth through a fine mesh sieve and set aside.

Prepare the Bisque Base: In the same pot, melt 4 tablespoons of butter over medium heat. Add 1/2 cup of finely chopped onion and cook for 5 minutes until softened. Stir in 1/4 cup of all-purpose flour and cook for 1-2 minutes to make a roux. Gradually whisk in the lobster broth and 1 cup of heavy cream, stirring constantly. Bring the mixture to a gentle simmer and cook for 10-15 minutes until it thickens.

Blend the Bisque: Remove the pot from the heat. Use an immersion blender to puree the soup until smooth. Alternatively, transfer the soup to a blender in batches and blend until smooth. Return the bisque to the pot.

Finish the Bisque: Stir in the reserved lobster meat, 1 tablespoon of brandy or sherry (optional), and season with salt and pepper to taste. Let the bisque simmer for another 5 minutes to heat through.

Serve: Ladle the lobster bisque into bowls and garnish with fresh chopped parsley or chives. Serve with crusty bread on the side."
63,lobster_roll_sandwich,"lobster meat, butter, lemon juice, mayonnaise, celery, fresh parsley, salt, black pepper, New England-style hot dog buns","Prepare the Lobster Meat: Boil or steam 2 lobsters in a large pot of salted water for 8-10 minutes, or until they turn bright red and the meat is opaque. Remove the lobsters and let them cool. Once cooled, remove the meat from the shells and chop it into bite-sized pieces. Set aside.

Prepare the Dressing: In a bowl, combine 1/4 cup of mayonnaise, 1 tablespoon of fresh lemon juice, 1 teaspoon of Dijon mustard, and 1 tablespoon of chopped fresh chives or parsley. Add salt and pepper to taste and mix until smooth.

Toast the Rolls: Split 4 New England-style hot dog rolls (the ones with flat sides) and butter the inside of each roll. Heat a skillet or griddle over medium heat and toast the rolls until golden brown on both sides, about 2-3 minutes per side.

Assemble the Lobster Roll: In a bowl, gently toss the chopped lobster meat with the dressing until well coated. If desired, you can add a little celery for crunch or a pinch of paprika for extra flavor.

Serve: Spoon the lobster mixture into the toasted rolls and garnish with extra chopped chives or parsley. Serve immediately with a side of potato chips or a salad."
64,macaroni_and_cheese,"elbow macaroni, butter, all-purpose flour, milk, cheddar cheese, mozzarella cheese, parmesan cheese, salt, black pepper, mustard powder, garlic powder (optional), bread crumbs (optional)","Cook the Pasta: Bring a large pot of salted water to a boil. Add 8 oz elbow macaroni or any pasta of your choice and cook according to the package instructions (usually 7-9 minutes). Drain the pasta and set aside.

Make the Cheese Sauce: In the same pot, melt 4 tablespoons of butter over medium heat. Add 1/4 cup of all-purpose flour and stir to form a roux. Cook for 1-2 minutes, stirring constantly. Gradually whisk in 2 cups of milk, making sure there are no lumps. Continue to cook and stir until the mixture thickens, about 5 minutes.

Add the Cheese: Reduce the heat to low and stir in 2 cups of shredded sharp cheddar cheese (or a mix of cheeses like mozzarella, gouda, or Monterey Jack) until melted and smooth. Season with 1/2 teaspoon of salt, 1/4 teaspoon of black pepper, and 1/4 teaspoon of garlic powder. For extra creaminess, you can also add 1/2 cup of sour cream or cream cheese.

Combine Pasta and Sauce: Add the cooked macaroni to the cheese sauce and stir until the pasta is fully coated with the sauce. If the sauce is too thick, add a little more milk to reach your desired consistency.

Serve: Serve the macaroni and cheese hot, garnished with extra shredded cheese or a sprinkle of paprika for color, if desired. You can also top with crumbled bacon or breadcrumbs for added texture."
65,macarons,"almond flour, powdered sugar, egg whites, granulated sugar, salt, cream of tartar, food coloring (optional), butter, powdered sugar (for filling), vanilla extract, heavy cream (optional)","Prepare the Ingredients: Preheat the oven to 300°F (150°C). Line two baking sheets with parchment paper or silicone baking mats. Sift 1 3/4 cups powdered sugar and 1 cup almond flour into a bowl to remove any lumps. In a separate bowl, whisk 3 large egg whites until they form soft peaks. Gradually add 1/4 cup granulated sugar while continuing to beat until stiff peaks form.

Make the Macaron Batter: Gently fold the sifted almond flour and powdered sugar mixture into the whipped egg whites, one third at a time, using a spatula. Be careful not to deflate the meringue. Once incorporated, fold until the batter flows slowly off the spatula, like lava. It should have a smooth, glossy texture.

Pipe the Macarons: Transfer the macaron batter into a piping bag fitted with a round tip (about 1/2-inch wide). Pipe small circles, about 1.5 inches in diameter, onto the prepared baking sheets, spacing them about 2 inches apart. Tap the baking sheets gently on the counter to remove any air bubbles.

Let the Macarons Rest: Let the piped macarons sit at room temperature for 30-60 minutes, or until the tops are dry to the touch and form a skin. This helps create the signature ""foot"" when baking.

Bake the Macarons: Bake the macarons in the preheated oven for 15-18 minutes, one sheet at a time, rotating halfway through the baking time. The macarons should be firm to the touch and easily lift off the parchment paper.

Prepare the Filling: While the macarons cool, make the filling. You can use buttercream, ganache, or jam. For buttercream, whip 1/2 cup softened butter with 1 1/2 cups powdered sugar, 1 teaspoon vanilla extract, and a tablespoon of milk until smooth and fluffy.

Assemble the Macarons: Once the macarons are fully cooled, pipe a small amount of filling onto the flat side of one macaron shell. Gently press a second shell on top to form a sandwich.

Serve: Let the macarons sit for a few hours to allow the flavors to meld together. Serve at room temperature."
66,miso_soup,"miso paste, dashi broth, tofu, wakame seaweed, green onions, soy sauce, salt","Prepare the Broth: In a medium saucepan, combine 4 cups of dashi stock (or water with dashi granules) and bring to a simmer over medium heat. If you’re using pre-made dashi, follow the instructions on the package for the correct amount.

Add the Miso Paste: Once the broth is simmering, add 3-4 tablespoons of miso paste (adjust to taste) and whisk until fully dissolved. You can use white miso, red miso, or a blend depending on your preference. Keep the heat low to prevent boiling.

Add the Tofu: Cut 1/2 block of firm tofu into small cubes and gently add them to the simmering broth. Allow the tofu to warm up in the soup for 3-4 minutes.

Add the Seaweed: Add 1/4 cup of dried wakame seaweed (rehydrated in water for a few minutes) to the soup and stir to combine.

Season the Soup: Taste the soup and adjust the seasoning, adding more miso paste or a pinch of salt if needed. You can also add a splash of soy sauce for extra depth of flavor.

Serve: Ladle the miso soup into bowls and garnish with finely chopped green onions (scallions) or a sprinkle of sesame seeds, if desired."
67,mussels,"mussels, garlic, butter, white wine, shallots, parsley, lemon juice, olive oil, salt, black pepper, bread (for serving, optional)","Prepare the Mussels: Rinse the mussels under cold water, scrubbing the shells to remove any dirt or debris. Remove the beard (the stringy part) from each mussel by pulling it toward the hinge of the shell. Discard any mussels that remain open when tapped or have broken shells.

Cook the Aromatics: In a large pot or Dutch oven, heat 2 tablespoons of olive oil or butter over medium heat. Add 1 chopped onion, 2 minced garlic cloves, and 1 finely chopped celery stalk. Cook for 3-5 minutes, stirring occasionally, until the vegetables are softened and fragrant.

Add the Liquid: Pour in 1 cup of dry white wine (or chicken broth if you prefer non-alcoholic). Stir to combine with the aromatics. Bring the mixture to a simmer, allowing the liquid to reduce slightly for about 2-3 minutes.

Cook the Mussels: Add the cleaned mussels to the pot, cover with a lid, and cook for 5-7 minutes, shaking the pot occasionally to ensure even cooking. The mussels are done when they have opened up. Discard any mussels that remain closed.

Finish the Sauce: Once the mussels are cooked, stir in 2 tablespoons of chopped fresh parsley and the juice of half a lemon. For extra richness, you can also stir in 1/4 cup of heavy cream or a bit more butter.

Serve: Serve the mussels immediately, with the broth poured over them. They are excellent with crusty bread to soak up the flavorful liquid."
68,nachos,"corn tortilla chips, cheddar cheese, jalapeños, black beans, ground beef or chicken (optional), sour cream, guacamole, salsa, green onions, tomatoes, black olives (optional), cilantro (optional), lime wedges","Prepare the Ingredients: Preheat the oven to 375°F (190°C). Gather 1 bag of tortilla chips (about 8-10 oz), 1 cup of shredded cheddar cheese, 1 cup of shredded Monterey Jack cheese, and 1 can (15 oz) of refried beans or black beans (drained and rinsed). Optionally, have salsa, sour cream, guacamole, jalapeños, and olives on hand for garnish.

Assemble the Nachos: Spread a layer of tortilla chips evenly on a baking sheet or in an oven-safe dish. Spoon the refried beans or black beans over the chips, spreading them out. Sprinkle the shredded cheddar and Monterey Jack cheese evenly on top of the beans and chips.

Bake the Nachos: Place the baking sheet or dish in the preheated oven and bake for 10-12 minutes, or until the cheese is melted and bubbly.

Garnish the Nachos: Remove the nachos from the oven and top with your desired garnishes, such as salsa, sour cream, guacamole, sliced jalapeños, and black olives.

Serve: Serve the nachos immediately while hot, and enjoy with additional salsa or dipping sauces on the side."
69,omelette,"eggs, butter, salt, black pepper, cheese (optional), mushrooms (optional), onions (optional), spinach (optional), ham or bacon (optional), tomatoes (optional)","Prepare the Ingredients: Crack 2-3 large eggs into a bowl and whisk them together with a pinch of salt and pepper. Optionally, add a tablespoon of milk or water for a fluffier texture. Prepare any fillings, such as diced vegetables (bell peppers, onions, mushrooms), cheese, ham, or herbs.

Cook the Omelette: Heat 1 tablespoon of butter or oil in a non-stick skillet over medium heat. Once the butter is melted and hot, pour in the egg mixture. Let the eggs cook for about 1-2 minutes, gently swirling the pan to ensure the eggs cook evenly.

Add the Fillings: Once the eggs start to set but are still slightly runny on top, add your prepared fillings to one half of the omelette. Cook for another minute, allowing the fillings to warm through and the eggs to set.

Fold and Serve: Use a spatula to gently fold the omelette in half, covering the fillings. Let it cook for another 30 seconds to 1 minute, until the eggs are fully set but still moist. Slide the omelette onto a plate and serve immediately."
70,oysters,"oysters, lemon, hot sauce, cocktail sauce, mignonette sauce, parsley (optional), ice (optional)","Prepare the Oysters: If using fresh oysters in the shell, carefully scrub the shells under cold water to remove any dirt. Use an oyster knife to carefully open the oysters, discarding the top shell. Save the bottom shell with the oyster inside. If using pre-shucked oysters, skip this step.

Option 1: Raw Oysters (with mignonette sauce): Place the oysters on a bed of crushed ice to keep them cold. For the mignonette sauce, mix 2 tablespoons red wine vinegar, 1 tablespoon finely chopped shallots, 1/2 teaspoon freshly ground black pepper, and 1/2 teaspoon sugar. Spoon a small amount of mignonette sauce onto each oyster and serve immediately.

Option 2: Baked Oysters: Preheat the oven to 400°F (200°C). Place the prepared oysters on a baking sheet. For the topping, mix together 1/4 cup breadcrumbs, 2 tablespoons melted butter, 1 tablespoon grated Parmesan cheese, and a pinch of garlic powder. Spoon the topping onto each oyster. Bake for 10-12 minutes, or until the oysters are cooked through and the topping is golden brown.

Option 3: Grilled Oysters: Preheat the grill to medium-high heat. Place the oysters on the grill with the flat side up. Grill for about 5-7 minutes, or until the oysters have opened and the edges are slightly charred. Optionally, top with a garlic-butter mixture or your favorite seasoning before grilling.

Serve: Serve the oysters on a platter with lemon wedges, cocktail sauce, or any preferred dipping sauce."
71,pad_thai,"rice noodles, shrimp, chicken, or tofu, egg, peanut butter, soy sauce, fish sauce, lime juice, brown sugar, garlic, green onions, bean sprouts, peanuts, coriander, red pepper flakes, sesame oil, vegetable oil","Prepare the Ingredients: Cook 8 oz of rice noodles according to the package instructions, then drain and set aside. Prepare the following ingredients: 2 tablespoons vegetable oil, 2 cloves garlic (minced), 2 eggs (beaten), 1/2 cup firm tofu (cubed, optional), 1/4 cup roasted peanuts (chopped), 1/4 cup bean sprouts, 2 green onions (chopped), 1 lime (cut into wedges), and fresh cilantro for garnish.

Make the Pad Thai Sauce: In a small bowl, whisk together 3 tablespoons fish sauce, 1 tablespoon soy sauce, 1 tablespoon tamarind paste, 1 tablespoon sugar, and 1 teaspoon chili paste (optional, for heat). Adjust the sweetness or saltiness to taste.

Cook the Tofu and Aromatics: In a large skillet or wok, heat 1 tablespoon of vegetable oil over medium-high heat. Add the minced garlic and sauté for about 30 seconds until fragrant. If using tofu, add it to the pan and cook until golden and slightly crispy, about 5 minutes.

Cook the Eggs: Push the tofu and garlic to the side of the pan. Add a bit more oil if needed and pour in the beaten eggs. Scramble the eggs in the pan until fully cooked, then combine them with the tofu and garlic.

Combine the Noodles and Sauce: Add the cooked noodles to the pan, followed by the Pad Thai sauce. Toss everything together to coat the noodles and heat through, about 2-3 minutes. Add in the chopped green onions and bean sprouts, and toss again.

Serve the Pad Thai: Transfer the Pad Thai to serving plates. Garnish with chopped peanuts, cilantro, lime wedges, and additional chili flakes if desired."
72,paella,"rice, chicken, shrimp, mussels, clams, chorizo, bell peppers, onion, garlic, tomato, peas, saffron, paprika, olive oil, chicken broth, white wine, lemon, parsley, salt, black pepper","Sauté the Vegetables: In a large paella pan or skillet, heat 2 tablespoons of olive oil over medium heat. Add the chopped onion, bell pepper, and garlic, and cook for about 5 minutes, or until the vegetables are softened.

Add the Rice and Spices: Stir in the rice, saffron threads, and smoked paprika, coating the rice in the oil and spices for about 2 minutes. Add the white wine and let it cook for 1-2 minutes, allowing the wine to reduce slightly.

Add the Broth: Pour in the chicken or seafood broth, bring it to a simmer, and let it cook uncovered for about 10 minutes, without stirring, allowing the rice to absorb the liquid.

Add the Protein: Nestle the chicken pieces into the rice, followed by the shrimp and any mussels or clams (if using). Cover the pan with a lid or foil, and let it cook for an additional 10-12 minutes, or until the seafood is cooked and the rice is tender.

Finish the Paella: Once the seafood is cooked, sprinkle in the frozen peas, cover, and cook for an additional 2-3 minutes. Remove the pan from heat and let the paella sit, covered, for about 5 minutes.

Serve: Garnish the paella with fresh parsley and lemon wedges. Serve the dish immediately."
73,pancakes,"all-purpose flour, baking powder, sugar, salt, milk, eggs, butter, vanilla extract","Make the Pancake Batter: In a large bowl, whisk together the flour, sugar, baking powder, and salt. In a separate bowl, whisk together the milk, egg, melted butter, and vanilla extract. Pour the wet ingredients into the dry ingredients and stir until just combined. Be careful not to overmix; the batter should be slightly lumpy.

Cook the Pancakes: Heat a non-stick skillet or griddle over medium heat and lightly grease with butter or oil. Pour 1/4 cup of batter onto the skillet for each pancake. Cook until bubbles appear on the surface of the pancake and the edges start to look set, about 2-3 minutes. Flip the pancake and cook for an additional 1-2 minutes, or until golden brown and cooked through.

Serve: Serve the pancakes immediately with your favorite toppings, such as maple syrup, fresh fruit, whipped cream, or butter."
74,panna_cotta,"heavy cream, whole milk, sugar, vanilla extract, unflavored gelatin, cold water, fresh berries or fruit compote (optional), caramel or chocolate sauce (optional)","Prepare the Gelatin Mixture:In a small bowl, sprinkle 2 teaspoons of unflavored gelatin over 3 tablespoons of cold water. Let it sit for 5-10 minutes to bloom.

Heat the Cream Mixture:In a saucepan, combine 2 cups of heavy cream, 1 cup of whole milk, 1/2 cup of sugar, and 1 teaspoon of vanilla extract. Heat over medium heat, stirring occasionally, until the sugar dissolves and the mixture is warm but not boiling.

Incorporate the Gelatin:Remove the cream mixture from heat and add the bloomed gelatin. Stir until the gelatin is fully dissolved.

Pour into Molds:Lightly grease individual ramekins or dessert molds. Pour the panna cotta mixture into the prepared molds, dividing it evenly.

Chill:Refrigerate the panna cotta for at least 4-6 hours or until fully set.

Unmold and Serve:To unmold, dip the bottom of each ramekin in warm water for a few seconds and gently run a knife around the edges. Invert onto a plate. Serve as is, or garnish with fresh berries, fruit compote, or a drizzle of caramel or chocolate sauce."
